,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
162,TCS,EQ,2018-01-04,2638.65,2650.0,2662.0,2640.0,2650.0,2657.1,2649.94,456541,1209806257.54,32647,264561,57.95,1,2018,0.6992211926553304,Slight Positive
163,TCS,EQ,2018-01-05,2657.1,2650.0,2699.5,2650.0,2695.0,2689.2,2684.95,576853,1548821462.35,30836,318083,55.14,1,2018,1.2080840013548588,Positive
164,TCS,EQ,2018-01-08,2689.2,2700.0,2726.85,2681.85,2708.8,2714.4,2709.74,621110,1683046611.3999999,43815,345599,55.64,1,2018,0.9370816599732379,Slight Positive
165,TCS,EQ,2018-01-09,2714.4,2715.0,2721.0,2676.55,2708.95,2709.0,2703.56,1074698,2905510524.88,47403,612650,57.01,1,2018,-0.19893899204244114,Slight or No change
166,TCS,EQ,2018-01-10,2709.0,2711.0,2816.0,2694.65,2803.0,2806.6,2763.3,1682925,4650426652.5,70764,699460,41.56,1,2018,3.6028054632705864,Among top gainers
167,TCS,EQ,2018-01-11,2806.6,2810.0,2821.9,2782.2,2792.5,2790.5,2796.58,1260524,3525156207.92,71604,578244,45.87,1,2018,-0.5736478301147319,Slight negative
168,TCS,EQ,2018-01-12,2790.5,2805.0,2805.0,2740.55,2769.9,2776.35,2764.28,1680157,4644424391.96,90884,472438,28.12,1,2018,-0.5070775846622522,Slight negative
169,TCS,EQ,2018-01-15,2776.35,2777.15,2808.0,2735.05,2737.4,2746.1,2768.32,728607,2017017330.24,49926,394675,54.17,1,2018,-1.0895600338574063,Negative
170,TCS,EQ,2018-01-16,2746.1,2756.0,2861.65,2750.55,2860.0,2850.85,2834.5,2133876,6048471522.0,85776,639155,29.95,1,2018,3.81450056443684,Among top gainers
171,TCS,EQ,2018-01-17,2850.85,2870.0,2925.0,2862.15,2895.0,2888.95,2900.36,2140403,6207939245.08,94873,965845,45.12,1,2018,1.3364435168458533,Positive
172,TCS,EQ,2018-01-18,2888.95,2897.0,2933.0,2868.05,2926.55,2918.2,2896.35,1104739,3199710802.65,51786,568379,51.45,1,2018,1.012478582183829,Positive
173,TCS,EQ,2018-01-19,2918.2,2930.55,2982.0,2903.65,2974.85,2959.3,2930.77,910000,2667000700.0,44039,436952,48.02,1,2018,1.4084024398602013,Positive
174,TCS,EQ,2018-01-22,2959.3,2961.0,3134.7,2922.0,3090.0,3116.4,3052.16,2183555,6664559228.799999,97757,663651,30.39,1,2018,5.308687865373574,Among top gainers
175,TCS,EQ,2018-01-23,3116.4,3114.95,3142.35,3090.05,3097.9,3102.0,3112.03,1619805,5040881754.150001,68887,705309,43.54,1,2018,-0.46207162110127875,Slight or No change
176,TCS,EQ,2018-01-24,3102.0,3090.0,3259.05,3082.65,3174.95,3174.6,3189.59,2810769,8965200694.710001,111512,862385,30.68,1,2018,2.3404255319148914,Positive
177,TCS,EQ,2018-01-25,3174.6,3175.0,3179.8,3081.0,3133.0,3121.05,3123.06,1916922,5986662421.32,72537,925615,48.29,1,2018,-1.6868266868266812,Negative
178,TCS,EQ,2018-01-29,3121.05,3131.4,3225.0,3122.0,3199.25,3198.85,3196.14,1570530,5019633754.2,94269,832172,52.99,1,2018,2.492750837058022,Positive
179,TCS,EQ,2018-01-30,3198.85,3180.0,3203.8,3143.7,3152.15,3152.85,3166.46,787379,2493204108.34,45149,384193,48.79,1,2018,-1.4380167872829253,Negative
180,TCS,EQ,2018-01-31,3152.85,3137.0,3150.0,3098.6,3111.15,3112.35,3119.14,1521607,4746105257.98,92438,978756,64.32,1,2018,-1.284552071934919,Negative
181,TCS,EQ,2018-02-01,3112.35,3124.0,3190.0,3088.8,3150.0,3138.6,3146.24,1200315,3776479065.6,66084,310672,25.88,2,2018,0.8434141404405127,Slight Positive
182,TCS,EQ,2018-02-02,3138.6,3120.0,3190.0,3103.45,3153.0,3153.65,3167.25,1228245,3890158976.25,52829,586030,47.71,2,2018,0.47951315873320244,Slight or No change
183,TCS,EQ,2018-02-05,3153.65,3110.0,3188.0,3076.85,3110.0,3103.2,3118.75,1378871,4300353931.25,75866,655249,47.52,2,2018,-1.5997336419704244,Negative
184,TCS,EQ,2018-02-06,3103.2,3010.0,3077.15,2985.0,3000.0,2997.25,3020.91,1328653,4013741134.23,53630,728147,54.8,2,2018,-3.414217581850987,Among top losers
185,TCS,EQ,2018-02-07,2997.25,3027.0,3031.0,2947.45,2959.0,2955.05,2975.26,1090162,3243515392.1200004,55520,506385,46.45,2,2018,-1.407957294186335,Negative
186,TCS,EQ,2018-02-08,2955.05,2979.75,3027.6,2959.0,2966.2,2974.2,3000.15,1377502,4132712625.3,63513,601956,43.7,2,2018,0.6480431803184361,Slight Positive
187,TCS,EQ,2018-02-09,2974.2,2950.0,2994.0,2896.65,2978.3,2971.7,2940.4,1051229,3091033751.6,71919,421771,40.12,2,2018,-0.08405621679778985,Slight or No change
188,TCS,EQ,2018-02-12,2971.7,2978.3,3023.35,2955.55,2960.15,2967.3,2981.33,987281,2943410463.73,49385,512025,51.86,2,2018,-0.14806339805497615,Slight or No change
189,TCS,EQ,2018-02-14,2967.3,2970.0,2974.45,2892.5,2900.0,2911.8,2939.65,1423766,4185373721.9,81932,880898,61.87,2,2018,-1.8703872207056937,Negative
190,TCS,EQ,2018-02-15,2911.8,2931.95,2943.0,2905.1,2922.0,2925.85,2925.44,1232618,3605950001.92,42920,702569,57.0,2,2018,0.48251940380519276,Slight or No change
191,TCS,EQ,2018-02-16,2925.85,2923.0,2999.6,2923.0,2931.0,2933.05,2965.52,1257878,3730262366.56,52987,425282,33.81,2,2018,0.24608233504794796,Slight or No change
192,TCS,EQ,2018-02-19,2933.05,2945.0,2953.3,2895.2,2923.65,2923.6,2928.1,784112,2295958347.2,37241,332759,42.44,2,2018,-0.3221902115545294,Slight or No change
193,TCS,EQ,2018-02-20,2923.6,2928.0,2985.05,2927.9,2943.0,2944.75,2959.27,944534,2795131130.18,60862,401169,42.47,2,2018,0.7234231769051913,Slight Positive
194,TCS,EQ,2018-02-21,2944.75,2974.0,3062.6,2960.05,3042.35,3042.3,3016.25,1544614,4658941977.5,96721,673804,43.62,2,2018,3.3126750997538146,Among top gainers
195,TCS,EQ,2018-02-22,3042.3,3052.0,3079.0,3022.5,3040.05,3050.2,3047.84,1731505,5277350199.2,83526,796578,46.0,2,2018,0.259671958715435,Slight or No change
196,TCS,EQ,2018-02-23,3050.2,3050.0,3089.0,2992.1,3078.0,3075.8,3044.72,1681250,5118935500.0,86645,706762,42.04,2,2018,0.8392892269359464,Slight Positive
197,TCS,EQ,2018-02-26,3075.8,3075.0,3089.95,3021.2,3025.6,3031.7,3044.1,681941,2075896598.1,45004,292334,42.87,2,2018,-1.4337733272644648,Negative
198,TCS,EQ,2018-02-27,3031.7,3041.0,3078.55,3032.0,3042.0,3042.35,3054.42,858900,2623441338.0,49207,299428,34.86,2,2018,0.3512880562061005,Slight or No change
199,TCS,EQ,2018-02-28,3042.35,3035.0,3063.95,3021.45,3033.4,3035.05,3040.16,1353432,4114649829.12,80437,861558,63.66,2,2018,-0.23994609430209035,Slight or No change
200,TCS,EQ,2018-03-01,3035.05,3049.0,3061.2,3020.0,3033.0,3037.7,3042.25,859062,2613481369.5,77493,522085,60.77,3,2018,0.08731322383486173,Slight or No change
201,TCS,EQ,2018-03-05,3037.7,3049.0,3113.65,3032.95,3103.0,3105.85,3075.76,1429084,4395519403.84,81638,785748,54.98,3,2018,2.2434736807453115,Positive
202,TCS,EQ,2018-03-06,3105.85,3122.0,3127.0,3030.15,3041.0,3042.8,3087.33,953382,2943404850.06,60270,469034,49.2,3,2018,-2.030040085644824,Negative
203,TCS,EQ,2018-03-07,3042.8,3070.0,3089.0,3018.5,3028.7,3027.45,3045.28,958886,2920076358.0800004,54736,437656,45.64,3,2018,-0.5044695675036293,Slight negative
204,TCS,EQ,2018-03-08,3027.45,3054.9,3054.9,2987.5,3001.85,3003.95,3017.6,975913,2944915068.7999997,43364,655914,67.21,3,2018,-0.7762308213182689,Slight negative
205,TCS,EQ,2018-03-09,3003.95,3005.0,3063.2,2977.2,3035.0,3034.1,3030.68,936218,2837377168.24,53978,310682,33.18,3,2018,1.0036784899881912,Positive
